branch,source,base,commit,status,endpoint,type,features,additions,deletions,old_path,path
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,页面,资金/充值/提现,2,2,,h5-v2/src/views3/fund/components/withdrawal.vue
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,页面,登录/注册/验证码,2,2,,h5-v2/src/views3/login/login.vue
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,页面,登录/注册/验证码,2,2,,h5-v2/src/views3/register/register.vue
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,页面,资金/充值/提现,2,2,,h5-v2/src/views4/fund/components/withdrawal.vue
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,页面,登录/注册/验证码,2,2,,h5-v2/src/views5/register/register.vue
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,A,h5-v2,页面,活动/红包/推广/下载,235,0,,h5-v2/src/views7/active/active.vue
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,pc,构建配置,主题/颜色/静态资源、构建/配置,26,25,,pc/configstatic/pc/control/control.js
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,pc,构建配置,主题/颜色/静态资源、构建/配置,-,-,,pc/configstatic/pc/images/favicon.ico
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,pc,构建配置,活动/红包/推广/下载、主题/颜色/静态资源、构建/配置,-,-,,pc/configstatic/pc/images/ic_promotion_logo.png
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,D,pc,构建配置,主题/颜色/静态资源、构建/配置,-,-,,pc/configstatic/pc/images/logo-icon.png
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,pc,构建配置,主题/颜色/静态资源、构建/配置,-,-,,pc/configstatic/pc/images/logo.gif
